classifier,ap_type,metric,category,value,class,category_name
HMM,pooled_oof,roc_auc,Animals,0.5,GPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.0011307953260459858,GPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.5,GPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.004103967168262654,GPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.5,GPP,Kingdom
HMM,pooled_oof,ap,Plants,0.4266367389154368,GPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.8634562480160829,GPP,Kingdom
HMM,pooled_oof,ap,Protists,0.025714285714285714,GPP,Kingdom
HMM,pooled_oof,roc_auc,Protists,0.5,GPP,Kingdom
HMM,pooled_oof,ap,Viruses,0.16666666666666666,GPP,Kingdom
HMM,pooled_oof,roc_auc,Viruses,0.5,GPP,Kingdom
HMM,pooled_oof,ap,Animals,0.7857142857142857,IDS,Kingdom
HMM,pooled_oof,roc_auc,Animals,0.999234693877551,IDS,Kingdom
HMM,pooled_oof,ap,Archaea,1.0,IDS,Kingdom
HMM,pooled_oof,roc_auc,Archaea,1.0,IDS,Kingdom
HMM,pooled_oof,ap,Bacteria,0.9473684210526315,IDS,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.9999054462934946,IDS,Kingdom
HMM,pooled_oof,ap,Fungi,0.9907407407407407,IDS,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.9996309963099631,IDS,Kingdom
HMM,pooled_oof,ap,Plants,0.9666666666666667,IDS,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9997032640949555,IDS,Kingdom
HMM,pooled_oof,ap,Protists,1.0,IDS,Kingdom
HMM,pooled_oof,roc_auc,Protists,1.0,IDS,Kingdom
HMM,pooled_oof,ap,Viruses,0.8333333333333334,IDS,Kingdom
HMM,pooled_oof,roc_auc,Viruses,0.5,IDS,Kingdom
HMM,pooled_oof,ap,Animals,0.5949646024124678,TPS,Kingdom
HMM,pooled_oof,roc_auc,Animals,0.8835301062573789,TPS,Kingdom
HMM,pooled_oof,ap,Bacteria,0.8229736986189792,TPS,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.9121284383318544,TPS,Kingdom
HMM,pooled_oof,ap,Fungi,0.7218256320670966,TPS,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.949311872064681,TPS,Kingdom
HMM,pooled_oof,ap,Plants,0.9716126995121634,TPS,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9803181049991824,TPS,Kingdom
HMM,pooled_oof,ap,Protists,0.8971674262270237,TPS,Kingdom
HMM,pooled_oof,roc_auc,Protists,0.9965151515151516,TPS,Kingdom
HMM,pooled_oof,ap,Viruses,1.0,TPS,Kingdom
HMM,pooled_oof,roc_auc,Viruses,1.0,TPS,Kingdom
Foldseek,pooled_oof,ap,Animals,1.0,2xFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,1.0,2xFPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.5873015873015873,2xFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.9994971399836571,2xFPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,1.0,2xFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,1.0,2xFPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.6622423328305682,2xFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9983056370153145,2xFPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,1.0,2xGGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,1.0,2xGGPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,1.0,2xGGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,1.0,2xGGPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.9005834305717619,2xGGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9499413145539907,2xGGPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.14398793818318883,CPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.5714285714285714,CPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.3821428571428572,CPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.9971173644474948,CPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.6736442596810593,CPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9669416547106647,CPP,Kingdom
Foldseek,pooled_oof,ap,Animals,1.0,EDSQ,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,1.0,EDSQ,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.8756839945280438,EDSQ,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.9375,EDSQ,Kingdom
Foldseek,pooled_oof,ap,Plants,0.9600969206232364,EDSQ,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9990280187648609,EDSQ,Kingdom
Foldseek,pooled_oof,ap,Protists,1.0,EDSQ,Kingdom
Foldseek,pooled_oof,roc_auc,Protists,1.0,EDSQ,Kingdom
Foldseek,pooled_oof,ap,Animals,0.508471718736361,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,0.8962692702980474,FPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.4448573538952906,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.9633395936350957,FPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.9452620412730979,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.9940145583557622,FPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.6000902999900843,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.8777236058897243,FPP,Kingdom
Foldseek,pooled_oof,ap,Protists,0.9160440987612724,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Protists,0.996996996996997,FPP,Kingdom
Foldseek,pooled_oof,ap,Viruses,0.16666666666666666,FPP,Kingdom
Foldseek,pooled_oof,roc_auc,Viruses,0.5,FPP,Kingdom
Foldseek,pooled_oof,ap,Animals,0.0005073566717402334,GFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,0.5,GFPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.0016961929890689784,GFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.49990560694732866,GFPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.6496208480954181,GFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.9925350897827963,GFPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.003500583430571762,GFPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.4148126463700234,GFPP,Kingdom
Foldseek,pooled_oof,ap,Animals,0.43099160106613776,GGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,0.8212715997350833,GGPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.41896976465182445,GGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.7242525353999235,GGPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.38926735623977315,GGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.891147635524798,GGPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.6403404704726484,GGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Plants,0.9409089153275649,GGPP,Kingdom
Foldseek,pooled_oof,ap,Protists,0.008571428571428572,GGPP,Kingdom
Foldseek,pooled_oof,roc_auc,Protists,0.4956772334293948,GGPP,Kingdom
Foldseek,pooled_oof,ap,Animals,0.11909563673262302,GPP,Kingdom
Foldseek,pooled_oof,roc_auc,Animals,0.5930306905370845,GPP,Kingdom
Foldseek,pooled_oof,ap,Bacteria,0.0011307953260459858,GPP,Kingdom
Foldseek,pooled_oof,roc_auc,Bacteria,0.4999056603773585,GPP,Kingdom
Foldseek,pooled_oof,ap,Fungi,0.004103967168262654,GPP,Kingdom
Foldseek,pooled_oof,roc_auc,Fungi,0.5,GPP,Kingdom
Foldseek,pooled_oof,ap,Plants,0.6294644192133313,GPP,Kingdom
