classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
CLEAN,2xFPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.6665676469607744,0.49978599067736723,1.0,percentile
CLEAN,2xFPP,roc_auc,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
CLEAN,2xFPP,roc_auc,pooled_oof,Kingdom,Plants,1.0,1.0,1.0,percentile
CLEAN,2xGGPP,ap,pooled_oof,Kingdom,Bacteria,0.5714285714285714,0.18181818181818182,1.0,percentile
CLEAN,2xGGPP,ap,pooled_oof,Kingdom,Fungi,0.5006901311249138,0.000652264162994188,1.0,percentile
CLEAN,2xGGPP,ap,pooled_oof,Kingdom,Plants,0.7209643116505862,0.0006085687276037051,1.0,percentile
CLEAN,2xGGPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.9996396717478111,0.9991257106517384,1.0,percentile
CLEAN,2xGGPP,roc_auc,pooled_oof,Kingdom,Fungi,0.75,0.5,1.0,percentile
CLEAN,2xGGPP,roc_auc,pooled_oof,Kingdom,Plants,0.9520806520806521,0.4991387588024884,1.0,percentile
CLEAN,CPP,ap,pooled_oof,Kingdom,Bacteria,0.028759710220825695,0.00036173569359867455,0.2588353561174965,percentile
CLEAN,CPP,ap,pooled_oof,Kingdom,Fungi,0.3613879250520472,0.0014150370915324026,0.7764101536124226,percentile
CLEAN,CPP,ap,pooled_oof,Kingdom,Plants,0.5960848343729175,0.27410670689122396,0.7695523683087305,percentile
CLEAN,CPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.5621875,0.4992684072441988,0.7497449182578964,percentile
CLEAN,CPP,roc_auc,pooled_oof,Kingdom,Fungi,0.7993498049414824,0.49964226477490387,0.99966309390773,percentile
CLEAN,CPP,roc_auc,pooled_oof,Kingdom,Plants,0.8755614678553199,0.7193652394418356,0.9434897383268629,percentile
CLEAN,EDSQ,ap,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
CLEAN,EDSQ,ap,pooled_oof,Kingdom,Fungi,0.8895397270362642,0.500720823337658,1.0,percentile
CLEAN,EDSQ,ap,pooled_oof,Kingdom,Plants,0.9743589743589743,0.9722222222222222,1.0,percentile
CLEAN,EDSQ,ap,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
CLEAN,EDSQ,roc_auc,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
CLEAN,EDSQ,roc_auc,pooled_oof,Kingdom,Fungi,0.9444444444444444,0.75,1.0,percentile
CLEAN,EDSQ,roc_auc,pooled_oof,Kingdom,Plants,0.9993800371977681,0.9978488359826208,1.0,percentile
CLEAN,EDSQ,roc_auc,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Animals,0.25458062770030276,0.05410619584463133,0.4843337094570132,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Bacteria,0.3284938497388336,0.20898329756651451,0.46448736507248606,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Fungi,0.8316643365888117,0.6749080279850269,0.9296462727344668,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Plants,0.7270980684215209,0.509437823715269,0.870665750977435,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Protists,0.6102736660267373,0.17572893296166442,0.8801684777797449,percentile
CLEAN,FPP,ap,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Animals,0.6767790417652795,0.5583353073945188,0.7909061132911099,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.8403132075305475,0.7679190618934454,0.9160252619724916,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Fungi,0.9543959192018889,0.8841798105211431,0.9900070173719174,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Plants,0.8937774787481048,0.8324916828166661,0.9402590940116196,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Protists,0.8490223971571957,0.6452653538050735,0.958342867091126,percentile
CLEAN,FPP,roc_auc,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,GFPP,ap,pooled_oof,Kingdom,Animals,0.0005307855626326964,0.0004717428856784844,0.0019430683981514687,percentile
CLEAN,GFPP,ap,pooled_oof,Kingdom,Bacteria,0.05080546003980688,0.0007755959956026794,0.3094576204992693,percentile
CLEAN,GFPP,ap,pooled_oof,Kingdom,Fungi,0.5518128359437626,0.36973699981976527,0.713929401202049,percentile
CLEAN,GFPP,ap,pooled_oof,Kingdom,Plants,0.003942183042137585,0.0030084660122714196,0.01219471443489437,percentile
CLEAN,GFPP,roc_auc,pooled_oof,Kingdom,Animals,0.49974899598393574,0.49920229506746494,0.5,percentile
CLEAN,GFPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.5498534475241634,0.4997290766587273,0.6666666666666666,percentile
