classifier,target_class,family,fold,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,FPP,logit_platt,3,10,0.0025440112670334436,0.990057184744133,257,135,0.5083063061808879,0.5252918287937743,0.46431697987655357,0.5855216961628512
PLM_Domains,FPP,logit_platt,3,11,0.990057184744133,1.0,1,1,0.990057184744133,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,4,1,1.1533553781221585e-12,0.002075049844340012,221,0,0.0014258740987646691,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,2,0.002075049844340012,0.0024321576543757297,221,0,0.0022600579791918355,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,3,0.0024321576543757297,0.0027856565944313,221,0,0.0026177166451058576,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,4,0.0027856565944313,0.003173209541837281,220,0,0.00298601711336644,0.0,0.0,0.017162136081943655
PLM_Domains,FPP,logit_platt,4,5,0.003173209541837281,0.0036071295215545232,221,0,0.003390598700554154,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,6,0.0036071295215545232,0.00404547332463833,221,0,0.0038098978840805106,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,7,0.00404547332463833,0.004575305061156515,220,0,0.004304487169061518,0.0,0.0,0.017162136081943655
PLM_Domains,FPP,logit_platt,4,8,0.004575305061156515,0.005577297830085818,221,0,0.0050147931693433605,0.0,0.0,0.01708580618533225
PLM_Domains,FPP,logit_platt,4,9,0.005577297830085818,0.022665781573265435,221,1,0.00800146912845098,0.004524886877828055,0.0007991801409706362,0.02518177711960748
PLM_Domains,FPP,logit_platt,4,10,0.022665781573265435,0.9799333975848662,220,139,0.6088528671102138,0.6318181818181818,0.566330572292797,0.6927812281946905
PLM_Domains,FPP,logit_platt,4,11,0.9799333975848662,1.0,1,1,0.9799333975848662,1.0,0.2065432914738929,1.0
PLM_Domains,GPP,logit_platt,0,1,2.4306067579758207e-08,0.0003094216623726351,233,0,0.00021371141214487538,0.0,0.0,0.016220123491819005
PLM_Domains,GPP,logit_platt,0,2,0.0003094216623726351,0.00042901021390231086,232,0,0.00037021561994951595,0.0,0.0,0.016288898989830464
