classifier,target_class,family,fold,n,n_pos,log_loss,brier,ece,mce,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_mean,ece_sd,mce_mean,mce_sd
PLM_Domains,GFPP,temperature,1,2164,6,0.008768298526576566,0.001695042882961295,0.002374349683329786,0.9424614577048361,,,,,,,,
PLM_Domains,GFPP,temperature,2,2100,13,0.05437360792664199,0.007118834977836192,0.005173951758761309,0.01882777279073322,,,,,,,,
PLM_Domains,GFPP,temperature,3,2577,16,0.0074425980567284266,0.0014308758976994288,0.003368133008704992,0.033274042125420844,,,,,,,,
PLM_Domains,GFPP,temperature,4,2208,9,0.009125396757685306,0.0017375972714742925,0.0032898273319141706,0.027628443270472314,,,,,,,,
PLM_Domains,GFPP,temperature,__mean_sd__,11374,61,0.017901,0.002883,0.003371,0.217953,0.017901236502784506,0.02040669751848542,0.002883374342126905,0.002396627051169642,0.003370789959650393,0.0010924426902701632,0.2179534125246044,0.4054338893008904
PLM_Domains,2xFPP,temperature,0,2325,7,0.0017687577763240885,0.0005233352092874599,0.0005883728488736145,0.2550068363103376,,,,,,,,
PLM_Domains,2xFPP,temperature,1,2164,8,0.0014926072325076574,0.0003987186282669733,0.0011330990358092456,0.1861808056736476,,,,,,,,
PLM_Domains,2xFPP,temperature,2,2100,1,0.0011473773813273315,0.00035437805940274707,0.0006597441037887715,0.8425460742241485,,,,,,,,
PLM_Domains,2xFPP,temperature,3,2577,2,0.0031747208456188642,0.0007501572275545256,0.0007583112227146683,0.981958366373743,,,,,,,,
PLM_Domains,2xFPP,temperature,4,2208,1,0.00034253585680324845,4.5606832049081384e-05,0.0003162332517161841,0.04461130376568734,,,,,,,,
PLM_Domains,2xFPP,temperature,__mean_sd__,11374,19,0.001585,0.000414,0.000691,0.462061,0.0015851998185162377,0.0010373941168507258,0.00041443919131215737,0.0002571267817136001,0.0006911520925804969,0.00029662333915318984,0.4620606772695129,0.42080509754459977
PLM_Domains,2xGGPP,temperature,0,2325,1,0.0029122157093536567,0.000533229666920428,0.0006213060296938731,0.24322392566080095,,,,,,,,
PLM_Domains,2xGGPP,temperature,1,2164,2,0.002773521084886671,0.0006420053333349058,0.0006010971313867082,0.6366537275000541,,,,,,,,
PLM_Domains,2xGGPP,temperature,2,2100,8,0.005646429284323386,0.002225814259954682,0.002722021191760111,0.7000474706229233,,,,,,,,
PLM_Domains,2xGGPP,temperature,3,2577,3,0.002889962249048318,0.0006759541853179723,0.0004738514295125659,0.5345025178833109,,,,,,,,
PLM_Domains,2xGGPP,temperature,4,2208,3,0.0012347389816521088,0.0002830006181439666,0.00032501722060136967,0.33766864365304416,,,,,,,,
PLM_Domains,2xGGPP,temperature,__mean_sd__,11374,17,0.003091,0.000872,0.000949,0.490419,0.0030913734618528282,0.0015928822900231725,0.0008720008127343909,0.0007723066374510356,0.0009486586005909257,0.0009983917042986315,0.49041925706402667,0.19474991907125586
PLM,TPS,temperature,0,2325,178,0.009363456053263558,0.0017334567145300254,0.001416841423174488,0.006563072797682534,,,,,,,,
PLM,TPS,temperature,1,2164,348,0.004398062455085284,0.0005072072372741883,0.0009122448334453308,0.004842326526130036,,,,,,,,
PLM,TPS,temperature,2,2100,164,0.014826287206229917,0.004262324248983766,0.0036938781472788556,0.03582525199996889,,,,,,,,
PLM,TPS,temperature,3,2577,269,0.010608428727856651,0.0022318034749669122,0.0011498357012209083,0.005087289863311126,,,,,,,,
PLM,TPS,temperature,4,2208,297,0.0035939944125310307,0.00024602803894312116,0.002403703349518307,0.01360637237515383,,,,,,,,
PLM,TPS,temperature,__mean_sd__,11374,1256,0.008558,0.001796,0.001915,0.013185,0.008558045770993289,0.00463925839335027,0.0017961639429396026,0.001607792847618005,0.0019153006909275777,0.0011448137698403722,0.013184862712449282,0.013150870648255935
