classifier,target_class,family,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,GFPP,temperature,5,0.9811722272092668,1.0,1,1,0.9811722272092668,1.0,0.2065432914738929,1.0
PLM_Domains,2xFPP,temperature,1,9.933698185548244e-21,4.161316810261498e-06,5687,0,6.849313903005681e-07,0.0,0.0,0.0006750495392456539
PLM_Domains,2xFPP,temperature,2,4.161316810261498e-06,0.9553886962343127,5686,18,0.002215508483176679,0.0031656700668308124,0.002003412543412059,0.00499882105128063
PLM_Domains,2xFPP,temperature,3,0.9553886962343127,1.0,1,1,0.9553886962343127,1.0,0.2065432914738929,1.0
PLM_Domains,2xGGPP,temperature,1,1.0952946304227896e-11,0.0001040560145963287,5687,0,3.472311784110243e-05,0.0,0.0,0.0006750495392456539
PLM_Domains,2xGGPP,temperature,2,0.0001040560145963287,0.6623313563469558,5686,16,0.0015965172317717897,0.0028139289482940555,0.0017328516921338863,0.0045663746343072575
PLM_Domains,2xGGPP,temperature,3,0.6623313563469558,1.0,1,1,0.6623313563469558,1.0,0.2065432914738929,1.0
PLM,TPS,temperature,1,1.3305208981467573e-07,1.0410249314851965e-05,1138,0,4.486262055746341e-06,0.0,0.0,0.0033643895965955344
PLM,TPS,temperature,2,1.0410249314851965e-05,3.097060087003371e-05,1137,0,1.93369526365237e-05,0.0,0.0,0.0033673386384227223
PLM,TPS,temperature,3,3.097060087003371e-05,6.767236846843087e-05,1137,0,4.7282655768288005e-05,0.0,0.0,0.0033673386384227223
PLM,TPS,temperature,4,6.767236846843087e-05,0.00013855602449601873,1138,0,0.00010000808559563345,0.0,0.0,0.0033643895965955344
PLM,TPS,temperature,5,0.00013855602449601873,0.0002514102283610086,1137,1,0.00019127678988100432,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM,TPS,temperature,6,0.0002514102283610086,0.0004467224572758728,1137,0,0.00033693180918039267,0.0,0.0,0.0033673386384227223
PLM,TPS,temperature,7,0.0004467224572758728,0.0008475073387706454,1138,0,0.000627418003385913,0.0,0.0,0.0033643895965955344
PLM,TPS,temperature,8,0.0008475073387706454,0.0021156059112389493,1137,2,0.0013428503471538602,0.001759014951627089,0.0004825078564778145,0.006391014287174731
PLM,TPS,temperature,9,0.0021156059112389493,0.9998950064935743,1137,115,0.09628441232483122,0.1011433597185576,0.08493822532030162,0.12003466486883596
PLM,TPS,temperature,10,0.9998950064935743,1.0,1138,1138,0.9999974543792205,1.0,0.9966356104034043,0.9999999999999999
PLM,IDS,logit_platt,1,6.901394723951416e-24,7.654726440666523e-06,1138,0,1.198911149566514e-06,0.0,0.0,0.0033643895965955344
PLM,IDS,logit_platt,2,7.654726440666523e-06,2.7563585553756487e-05,1137,0,1.757338990455742e-05,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,3,2.7563585553756487e-05,4.7551093821018926e-05,1137,0,3.7497978607221385e-05,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,4,4.7551093821018926e-05,7.089945535161156e-05,1138,0,5.8595258843147597e-05,0.0,0.0,0.0033643895965955344
PLM,IDS,logit_platt,5,7.089945535161156e-05,0.00010028103359746298,1137,0,8.503236071953285e-05,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,6,0.00010028103359746298,0.00013758010235851155,1137,0,0.00011784686889841479,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,7,0.00013758010235851155,0.0001924823779903888,1138,0,0.0001628984945904086,0.0,0.0,0.0033643895965955344
PLM,IDS,logit_platt,8,0.0001924823779903888,0.0002984965145875415,1137,0,0.00023699296502385252,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,9,0.0002984965145875415,0.0005682111879754344,1137,0,0.0004028027786707625,0.0,0.0,0.0033673386384227223
PLM,IDS,logit_platt,10,0.0005682111879754344,0.9999997780568253,1137,180,0.1549080700045284,0.158311345646438,0.13824830209041308,0.18067555201869376
PLM,IDS,logit_platt,11,0.9999997780568253,1.0,1,1,0.9999997780568253,1.0,0.2065432914738929,1.0
PLM,FPP,logit_platt,1,1.9366541533780305e-10,0.0005210350810274731,1138,1,0.0003389963021814322,0.0008787346221441124,0.00015513109235213611,0.004960814937289802
PLM,FPP,logit_platt,2,0.0005210350810274731,0.0007734398964641461,1137,0,0.000646674407668604,0.0,0.0,0.0033673386384227223
PLM,FPP,logit_platt,3,0.0007734398964641461,0.0010171597702074886,1137,0,0.0008921408446205593,0.0,0.0,0.0033673386384227223
PLM,FPP,logit_platt,4,0.0010171597702074886,0.0013009916386550677,1138,1,0.00116112439232238,0.0008787346221441124,0.00015513109235213611,0.004960814937289802
PLM,FPP,logit_platt,5,0.0013009916386550677,0.001610791709566536,1137,2,0.00145458712096291,0.001759014951627089,0.0004825078564778145,0.006391014287174731
PLM,FPP,logit_platt,6,0.001610791709566536,0.0019846093127753647,1137,1,0.001789820389371251,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM,FPP,logit_platt,7,0.0019846093127753647,0.0024896033840672146,1138,1,0.002228936317054685,0.0008787346221441124,0.00015513109235213611,0.004960814937289802
PLM,FPP,logit_platt,8,0.0024896033840672146,0.0033731598475403054,1137,5,0.002876492345861765,0.0043975373790677225,0.001879756022086388,0.010253041379410894
