classifier,target_class,family,metric,point,ci_low,ci_high,n_resamples_used,ci
PLM,EDSQ,temperature,brier,0.00029272382866252266,1.9366930577566017e-06,0.0007632119579387599,995,0.95
PLM,EDSQ,temperature,ece,0.0001444426440756219,1.835825923263272e-05,0.00042001633312491936,995,0.95
PLM,EDSQ,temperature,mce,0.0006258344151808953,6.287041188111355e-05,0.02303809554240686,995,0.95
PLM,CPP,temperature,log_loss,0.015295004096070644,0.009204578989302012,0.024300315747178853,1000,0.95
PLM,CPP,temperature,brier,0.00405997312687157,0.002126405440227754,0.007006861002701313,1000,0.95
PLM,CPP,temperature,ece,0.0013652678419479518,0.0004854365257345205,0.004880800929327502,1000,0.95
PLM,CPP,temperature,mce,0.9746020032646084,0.025029586905887705,0.9860128822509338,1000,0.95
PLM,GFPP,temperature,log_loss,0.015479455593462699,0.006015093512101565,0.03310314242774864,1000,0.95
PLM,GFPP,temperature,brier,0.0026678843073410967,0.0016472517181608554,0.004054653702230569,1000,0.95
PLM,GFPP,temperature,ece,0.0009648549603313137,0.000247955587276596,0.004548654871700172,1000,0.95
PLM,GFPP,temperature,mce,0.9186881035367336,0.0731542756689229,0.9416382311734521,1000,0.95
PLM,2xFPP,temperature,log_loss,0.0025006405486805426,0.000595365808782612,0.005241580107242709,974,0.95
PLM,2xFPP,temperature,brier,0.0006606379856558374,0.0001413811868070916,0.0013508556527325067,974,0.95
PLM,2xFPP,temperature,ece,0.0007675836193068578,7.329010975799636e-05,0.0017383675205875685,974,0.95
PLM,2xFPP,temperature,mce,0.16965381048764427,0.10247667660892149,0.4373633545835912,974,0.95
PLM,2xGGPP,logit_platt,log_loss,0.0019928985848774003,0.0005530518478787617,0.005580531291520933,975,0.95
PLM,2xGGPP,logit_platt,brier,0.0004937446710390501,0.00014468305714752464,0.0013319195544502587,975,0.95
PLM,2xGGPP,logit_platt,ece,9.531845710244659e-06,8.182265374394279e-06,0.0008112453007930686,975,0.95
PLM,2xGGPP,logit_platt,mce,0.007773491643038533,0.00035122980454417666,0.850888120808132,975,0.95
