Track,Model,TPS_Type,AP_mean,AP_sem
B,CLEANProp,di,0.2163146562231701,0.043965838739143843
B,CLEANProp,tri,0.08971693678802643,0.04622826259753237
B,CLEANProp,sester,0.021882143925663317,0.005961260376952031
B,CLEANProp,macro_avg,0.17746474486345232,0.055289588229602823
B,Foldseek,mono,0.2064894697146328,0.05609936367975382
B,Foldseek,sesq,0.3178699354965705,0.04881343000148418
B,Foldseek,di,0.20563553824554903,0.0427216687035945
B,Foldseek,tri,0.08351960880815461,0.04767464402933006
B,Foldseek,sester,0.018323400176587807,0.006720146413104326
B,Foldseek,macro_avg,0.16636759048829894,0.052385860597229696
B,HMM,mono,0.32098320699711513,0.09004332325773447
B,HMM,sesq,0.39540002506223454,0.08656512457857823
B,HMM,di,0.2609682712791305,0.071180313159866
B,HMM,tri,0.06626692528996155,0.04715985177109104
B,HMM,sester,0.021358754557362594,0.004131570686841409
B,HMM,macro_avg,0.21299543663716086,0.07262508493975735
B,PlmRF,mono,0.5736564289994492,0.06910213516047486
B,PlmRF,sesq,0.7644827556532231,0.06324894219979338
B,PlmRF,di,0.3885797406801288,0.06654375892541302
B,PlmRF,tri,0.15891233477414107,0.09145710434724401
B,PlmRF,sester,0.09180411542676749,0.018159759318498444
B,PlmRF,macro_avg,0.3954870751067419,0.1257260494012305
B,PlmDomainsRF,mono,0.5932161557038663,0.07455186352034938
B,PlmDomainsRF,sesq,0.7859464860028483,0.057125717714915286
B,PlmDomainsRF,di,0.577294915963052,0.08590253474138666
B,PlmDomainsRF,tri,0.1674884689554876,0.10821152845482761
B,PlmDomainsRF,sester,0.19773130579654355,0.09253198940567631
B,PlmDomainsRF,macro_avg,0.4643354664843596,0.1208303843397651
D,Blastp,mono,0.9162944637240086,0.030671262532133845
D,Blastp,sesq,0.9442653502150614,0.015151521735031752
D,Blastp,di,0.8691291620209665,0.02937752875404943
D,Blastp,tri,0.7176706841498358,0.15655449264504623
D,Blastp,sester,0.5721955665617637,0.10777159876932957
D,Blastp,macro_avg,0.8039110453343273,0.06989714921643307
D,CLEAN,mono,0.3591041120425623,0.13975662348946755
D,CLEAN,sesq,0.44880950005044873,0.1133454299106957
D,CLEAN,di,0.3346876896616982,0.10948871407632252
D,CLEAN,tri,0.3491157588154943,0.13929498865649392
D,CLEAN,sester,0.02569009483403643,0.007816929792784503
D,CLEAN,macro_avg,0.30348143108084796,0.07226288092928443
D,CLEANEc,mono,0.3552044183874588,0.14046407973724143
D,CLEANEc,sesq,0.45278140532658695,0.11389073434047244
D,CLEANEc,di,0.33808102013571684,0.10996863146113642
D,CLEANEc,tri,0.365790135770707,0.14543017120563423
D,CLEANEc,sester,0.013019904803559199,0.0030087755551858626
D,CLEANEc,macro_avg,0.3049753768848058,0.07563134100543184
D,CLEANProp,mono,0.2213196563939123,0.06436325095916223
D,CLEANProp,sesq,0.33809033098648944,0.054650046828270196
D,CLEANProp,di,0.2163146562231701,0.043965838739143843
D,CLEANProp,tri,0.08971693678802643,0.04622826259753237
D,CLEANProp,sester,0.021882143925663317,0.005961260376952031
D,CLEANProp,macro_avg,0.17746474486345232,0.055289588229602823
D,Foldseek,mono,0.9497464026679436,0.01402187100389626
D,Foldseek,sesq,0.9716704332916581,0.014059579727943137
D,Foldseek,di,0.9384026060116785,0.012002383241016677
D,Foldseek,tri,0.8896132389418675,0.05322408906588824
D,Foldseek,sester,0.8714285714285714,0.08370664681546164
D,Foldseek,macro_avg,0.9241722504683437,0.018826628226361525
D,HMM,mono,0.9991669636918783,0.0005989402289519694
D,HMM,sesq,0.9954882770042639,0.0026305007469428444
D,HMM,di,0.9351579217675752,0.011138705263356388
D,HMM,tri,0.6540917715266521,0.16884768359106658
D,HMM,sester,0.9722222222222222,0.02777777777777783
D,HMM,macro_avg,0.9112254312425183,0.06528592186560517
D,PlmRF,mono,0.9997338065661048,0.0002661934338953009
D,PlmRF,sesq,0.9976498103592512,0.0020121545899573954
D,PlmRF,di,0.9786834330644245,0.009391089278496622
D,PlmRF,tri,0.9899999999999999,0.010000000000000002
D,PlmRF,sester,1.0,9.06493303673679e-17
D,PlmRF,macro_avg,0.993213409997956,0.004060180149521638
D,PlmDomainsRF,mono,0.9996513764648777,0.0002137618168316975
D,PlmDomainsRF,sesq,0.9982010481969544,0.0017125809442636324
D,PlmDomainsRF,di,0.9984869606122965,0.001037462280872513
D,PlmDomainsRF,tri,1.0,0.0
D,PlmDomainsRF,sester,1.0,0.0
D,PlmDomainsRF,macro_avg,0.9992678770548256,0.00038516451766816567
E,Blastp,mono,0.8853519684236734,0.02587146711288058
E,Blastp,sesq,0.9447686425793298,0.013074487943954253
E,Blastp,di,0.8945743779109513,0.026861635143607288
E,Blastp,tri,0.6417750926431895,0.15784743092754605
E,Blastp,sester,0.5721955665617637,0.10777159876932957
E,Blastp,macro_avg,0.7877331296237816,0.07528772542830378
E,CLEAN,mono,0.3591041120425623,0.13975662348946755
E,CLEAN,sesq,0.45168972784596717,0.11513249847340418
E,CLEAN,di,0.33955040765903766,0.11044294074366365
E,CLEAN,tri,0.3491157588154943,0.13929498865649392
E,CLEAN,sester,0.02569009483403643,0.0078169297927845
E,CLEAN,macro_avg,0.30503002023941955,0.07266329219711155
E,CLEANEc,mono,0.3552044183874588,0.14046407973724143
E,CLEANEc,sesq,0.45278140532658695,0.11389073434047244
E,CLEANEc,di,0.33808102013571684,0.10996863146113642
E,CLEANEc,tri,0.365790135770707,0.14543017120563423
E,CLEANEc,sester,0.013019904803559199,0.0030087755551858626
E,CLEANEc,macro_avg,0.3049753768848058,0.07563134100543184
E,CLEANProp,mono,0.2213196563939123,0.06436325095916223
E,CLEANProp,sesq,0.33809033098648944,0.054650046828270196
E,CLEANProp,di,0.2163146562231701,0.043965838739143843
E,CLEANProp,tri,0.08971693678802643,0.04622826259753237
E,CLEANProp,sester,0.021882143925663317,0.005961260376952031
E,CLEANProp,macro_avg,0.17746474486345232,0.055289588229602823
E,Foldseek,mono,0.9522702441026052,0.015907783974704194
E,Foldseek,sesq,0.9686560651965959,0.012886273855521825
E,Foldseek,di,0.9524756973775821,0.016457493166767156
E,Foldseek,tri,0.8241905932156437,0.07524797083874289
E,Foldseek,sester,0.6807120500782472,0.03671729289413309
E,Foldseek,macro_avg,0.8756609299941347,0.05525932139296404
E,HMM,mono,0.9999608763693271,3.9123630672932557e-05
E,HMM,sesq,0.9828207324996452,0.009773100432167076
E,HMM,di,0.9236608440831358,0.01845007509630453
E,HMM,tri,0.5875689953258806,0.15928458188470979
E,HMM,sester,1.0,0.0
E,HMM,macro_avg,0.8988022896555977,0.07906239504668522
E,PlmRF,mono,1.0,4.965068306494546e-17
E,PlmRF,sesq,0.9969609008811144,0.002553859822955658
E,PlmRF,di,0.9989928146482645,0.0005585149303299971
E,PlmRF,tri,1.0,3.510833468576701e-17
E,PlmRF,sester,1.0,0.0
E,PlmRF,macro_avg,0.9991907431058757,0.0005905955546617206
E,PlmDomainsRF,mono,0.9960444424632067,0.0025188885832922634
E,PlmDomainsRF,sesq,0.991593669714744,0.004130740879383236
E,PlmDomainsRF,di,0.9944764223943758,0.005263087108799119
E,PlmDomainsRF,tri,0.824812756401356,0.09557482482346988
E,PlmDomainsRF,sester,1.0,0.0
E,PlmDomainsRF,macro_avg,0.9613854581947365,0.034170146955636194
