track,model,tps_type,ap_mean,ap_std,n_folds,mean_n_pos,ap_sem
C,CLEANProp,di,0.49151075839684866,0.1446581168740285,5,25.6,0.06469307656548741
C,CLEANProp,di-int,0.3212108013937282,0.1512495069590248,4,11.0,0.0756247534795124
C,CLEANProp,fpps,0.23271889400921658,0.12708370721785878,2,6.5,0.08986175115207373
C,CLEANProp,gfpps,0.16,,1,4.0,
C,CLEANProp,ggpps,0.3295704295704296,0.17210994238911625,5,11.8,0.0769699061571273
C,CLEANProp,gpps,0.38235294117647056,,1,13.0,
C,CLEANProp,hemi,0.18181818181818182,,1,4.0,
C,CLEANProp,mono,0.6042814221389572,0.14144255383008786,5,41.2,0.06325503305504994
C,CLEANProp,sesq,0.7717655534199979,0.08515370470327226,5,86.6,0.038081894450492065
C,CLEANProp,sester,0.24727564102564104,0.0920318394223196,4,7.5,0.0460159197111598
C,CLEANProp,tri,0.3737117088887674,0.24053965388233306,4,23.75,0.12026982694116653
C,Foldseek,di,0.8980192079194692,0.05102736892366635,5,25.6,0.022820133125255646
C,Foldseek,di-int,0.8478535353535354,0.11237373737373736,4,11.0,0.05618686868686868
C,Foldseek,fpps,0.0196704354402215,0.025702166309455713,2,6.5,0.018174176088600554
C,Foldseek,gfpps,0.2510055304172951,,1,4.0,
C,Foldseek,ggpps,0.30478580027762847,0.30046556031827965,5,11.8,0.1343722835538473
C,Foldseek,gpps,0.0065065065065065065,,1,13.0,
C,Foldseek,hemi,0.8,,1,4.0,
C,Foldseek,mono,0.885846491840082,0.11142500601531129,5,41.2,0.0498307775687118
C,Foldseek,sesq,0.9669652350108473,0.03338869856919925,5,86.6,0.014931879936195897
C,Foldseek,sester,0.8379548407772192,0.12349448027235545,4,7.5,0.061747240136177724
C,Foldseek,tri,0.8000872559202042,0.08003040272920661,4,23.75,0.040015201364603306
C,HMM,di,0.960692843051554,0.035941591786626155,5,25.6,0.01607356849088884
