track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,CLEANEc,gfpps,0,3,2002,0.0014962593516209476,0.0,0.0,0.0,0.0,1.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,tri,0,8,2002,0.6728238866396761,0.9690124999999999,0.9979,0.8429,0.9989,0.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,tetra,0,3,2002,0.19266381766381768,0.9896666666666666,0.9964,0.9758,0.9968,0.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,sesq,1,49,1988,0.727776512716355,0.7701448979591837,0.9948,0.0,0.9989,0.10204081632653061,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,ggpps,1,20,1988,0.16046812749003986,0.19977,0.0,0.0,0.9989,0.8,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,di,1,36,1988,0.6717439964358367,0.7307305555555555,0.99545,0.0,0.9989,0.1388888888888889,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,tri,1,5,1988,0.5133333333333333,0.99816,0.9979,0.9979,0.9988,0.0,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,sester,1,13,1988,0.15513877676546342,0.30306923076923076,0.0,0.0,0.9989,0.6923076923076923,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,fpps,1,11,1988,0.011496007744131806,0.07038181818181818,0.0,0.0,0.7742,0.9090909090909091,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,mono,1,13,1988,0.5850454580402106,0.9160076923076921,0.9982,0.0,0.9988,0.07692307692307693,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,gpps,1,14,1988,0.006993006993006993,0.0,0.0,0.0,0.0,1.0,0.006440492957746478,0.0,0.9989,0.015090543259557344
A,CLEANEc,sesq,2,101,1982,0.826317356254519,0.9117861386138614,0.9898,0.0,0.9989,0.0297029702970297,0.005540918264379414,0.0,0.9988,0.01160443995963673
A,CLEANEc,di,2,28,1982,0.8239263032545381,0.9672892857142857,0.9983,0.3934,0.9989,0.0,0.005540918264379414,0.0,0.9988,0.01160443995963673
A,CLEANEc,mono,2,95,1982,0.8798233806610793,0.9655621052631578,0.9962,0.0,0.9989,0.010526315789473684,0.005540918264379414,0.0,0.9988,0.01160443995963673
A,CLEANEc,sesq,3,113,1985,0.9282365362565751,0.9334964601769912,0.9967,0.0,0.9989,0.017699115044247787,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,di,3,9,1985,0.7087301587301588,0.8884666666666666,0.9979,0.0259,0.9989,0.0,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,mono,3,86,1985,0.8902765389461125,0.898561627906977,0.9964999999999999,0.0,0.9989,0.046511627906976744,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,ggpps,3,5,1985,0.002512562814070352,0.0,0.0,0.0,0.0,1.0,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,sester,3,6,1985,0.11354381754934242,0.4873,0.47755,0.0,0.992,0.5,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,tri,3,6,1985,0.528968253968254,0.9740666666666667,0.9962,0.9203,0.9987,0.0,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,negative,3,3,1985,0.4888888888888888,0.9932333333333333,0.9984,0.9825,0.9988,0.0,0.00570367758186398,0.0,0.9989,0.014105793450881612
A,CLEANEc,sesq,4,78,1987,0.878653218225447,0.8969064102564104,0.9969,0.0,0.9989,0.038461538461538464,0.005377654755913437,0.0,0.9987,0.013085052843482638
